RequestedMode,EffectiveMode,Scenario,CpuFrameTimeMs,CpuTimingSource,GpuFrameTimeMs,GpuTimingAvailable,GpuTimingSource,PostProcessingCpuMarkerMs,MotionVectorsCpuMarkerMs,OutputResolution,InternalResolution,DynamicResolutionScale,Upscaler,MotionVectorsActive,ManagedCameraCount,FallbackReason
"TemporalUpscaler","TemporalUpscaler","09_FieldOfViewChange",6.5469,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.3398,0.0520,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","10_ResolutionChange",9.4097,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",7.0178,0.0535,"960x540","557x313",0.5796,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","11_RuntimeAaSwitch",6.5580,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.2602,0.0568,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","12_TeleportOrSaveLoad",7.0049,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.6441,0.0512,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","13_HardCameraCut",6.7500,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.6467,0.0337,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","14_MultipleActiveCameras",3.5324,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.2682,0.0657,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","01_StaticOutdoor",2.0654,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1606,0.0572,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","02_SlowWalk",2.0829,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1562,0.0789,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","03_FastCameraTurn",2.0146,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1488,0.0341,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","04_FastVehicle",2.1164,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1691,0.0513,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","05_ForestGrassFoliage",2.0892,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1578,0.0528,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","06_ThinGeometryAgainstSky",2.0380,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1663,0.0528,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","07_NightHeadlightsEmissive",2.0128,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1554,0.0537,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","08_InteriorContrastDetails",2.1080,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1584,0.0480,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","09_FieldOfViewChange",6.3766,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.3823,0.0546,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","10_ResolutionChange",9.0922,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",6.9690,0.0516,"960x540","960x540",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","11_RuntimeAaSwitch",6.6994,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.5853,0.0571,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","12_TeleportOrSaveLoad",5.9669,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.0061,0.0499,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","13_HardCameraCut",6.3608,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",4.3784,0.0364,"1280x720","1280x720",1.0000,"Dlss",True,2,""
"MaximumQuality","MaximumQuality","14_MultipleActiveCameras",3.3294,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.2543,0.0613,"1280x720","1280x720",1.0000,"Dlss",True,2,""
