assetPath,guid,category,domains,excludedByConfig,dirtyWorkingTree,reasons
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Rock012_1K_NormalDX.png,24761c0d39d104f46a00529030bda5d4,Normal Map,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Rock013_1K_Color.png,c654c59abe3494d44bf1027a05e71eb6,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Rock013_1K_NormalDX.png,24f69d29c88e9ff438c4d9b442a59f9f,Normal Map,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Textures/cube_enviro_galaxy.png,5734983fc81450b4187c3cfa5985edef,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/cube_enviro_stars.png,b5a7175da0f133b4d951c19c9c2cebfc,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/cube_enviro_starsNoise.png,a25af6a439465e247b1c97f4608d75ce,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/enviro_detail_noise.jpg,fe4a9656293440e449aff1ead48cb904,Normal Map,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Textures/enviro_dust_particles.png,1fe22a4cdd9661946ac6267d089a339c,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/enviro_lightning_glow.png,7de6bdb04c014f846b27189cc78d5176,Base Color / Albedo,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Textures/enviro_lightningBolt_particle.png,00252c80c12aa8e4ab4f6bd0b18ae485,Base Color / Albedo,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Textures/enviro_lightningFlash_particle.png,6b3a446117b3fe342b11fb0db53d0ef6,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/enviro_rain_particles.png,5c83282ca2748e94f955da788bd786eb,Base Color / Albedo,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Textures/enviro_rainSplash_particles.png,bb157ff99b375e64cabd64a6f73023e0,Base Color / Albedo,Unassigned,True,False,
